foodId,label,category,foodContentsLabel,image
3282946015837,Nicolas Feuillatte,"French Champagnes, fr:Champagnes bruts","Champagne, Contient des _sulfites_",https://images.openfoodfacts.org/images/products/328/294/601/5837/front_fr.7.400.jpg
3185370729960,Br МОЁ HANDON MOET & CHANDON CHAMPAGNE IMPERIAL BR,Champagnes,"IMPERIAL LOOK BEHIND THE SCENES OF OUR MAISON SERIE CALL CONTAINS 12.5% vol 750ml 9.4 UK For further health information visit be drinkaware.co.uk MPORTED BY: MOET HENNESSY UK LIMITED, 18 GROSVENOR GARDENS, LONDON SW ODHUK CHAMPAGNE-BRUT-PRODUIT DE FRANCE - PRODUCT OF FRANCE PRODUCED BY CHAMPAGNE MOET & CHANDON - EPERNAY-FRANCE-NM-549-002",https://images.openfoodfacts.org/images/products/318/537/072/9960/front_de.3.400.jpg
3049614222245,Champagne Veuve Clicquot brut,Champagnes,,https://images.openfoodfacts.org/images/products/304/961/422/2245/front_fr.7.400.jpg
3043700103715,Champagne brut Cordon Rouge,"French Champagnes, fr:Champagnes bruts",Contient des sulfites.,https://images.openfoodfacts.org/images/products/304/370/010/3715/front_fr.11.400.jpg
3282946100090,Champagne brut rosé,fr:Champagnes rosés,,https://images.openfoodfacts.org/images/products/328/294/610/0090/front_fr.8.400.jpg
3049610004104,Veuve Clicquot Champagne Ponsardin Brut,Champagnes,Champagne,https://images.openfoodfacts.org/images/products/304/961/000/4104/front_fr.39.400.jpg
8000570083306,"MARTINI Bellini Peach 8,0%vol",Champagnes,"Wein (Sulfite), Wasser, Zucker, Aromastoffe, Kohlendioxid, Säuerungsmittel: E330, Konservierungsmittel: E202, E224 (Sulfite)",https://images.openfoodfacts.org/images/products/800/057/008/3306/front_en.31.400.jpg
3113934004147,Canard Duchêne,"Champagnes, fr:Liquide",Pinots et de Chardonnay,https://images.openfoodfacts.org/images/products/311/393/400/4147/front_fr.4.400.jpg
3359952005005,"Champagne AOP, brut",fr:Champagnes bruts,Champagne brut (_sulfites_),https://images.openfoodfacts.org/images/products/335/995/200/5005/front_fr.6.400.jpg
3267851000116,Champagne Orgueil de France,French Champagnes,Champagne,https://images.openfoodfacts.org/images/products/326/785/100/0116/front_fr.7.400.jpg
